Guid,Model,Success,Timestamp,Message,Network,Charging,Position_X,Position_Y,Availability
0,CPH1909,False,0 days 20:58:33,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:58:39,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:58:39,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:58:49,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 20:58:49,Unknown,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 21:03:21,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 21:03:21,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 21:03:21,39.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 21:03:21,wifi,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 23:02:50,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 23:02:50,36.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 23:03:00,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 23:04:34,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 23:05:31,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 23:05:31,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 23:05:41,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 23:10:27,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,0 days 23:10:27,battery_charged_on,fix,In charge,19,62,Available
0,CPH1909,False,0 days 23:10:27,35.0%,fix,In charge,19,62,Available
0,CPH1909,False,0 days 23:42:47,screen_on,fix,In charge,19,62,Available
0,CPH1909,False,0 days 23:42:47,screen_lock,fix,In charge,19,62,Available
0,CPH1909,False,0 days 23:42:47,46.0%,fix,In charge,19,62,Available
0,CPH1909,False,0 days 23:42:57,screen_unlock,fix,In charge,19,62,Available
0,CPH1909,False,0 days 23:42:57,47.0%,fix,In charge,19,62,Available
0,CPH1909,False,0 days 23:43:58,screen_off,fix,In charge,19,62,Available
0,CPH1909,False,0 days 23:43:58,screen_lock,fix,In charge,19,62,Available
0,CPH1909,False,1 days 00:04:39,screen_on,fix,In charge,19,62,Available
0,CPH1909,False,1 days 00:04:39,battery_charged_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 00:04:39,54.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 00:04:49,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 00:05:50,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 00:10:44,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 00:10:44,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 00:10:54,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 00:32:12,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 00:32:12,50.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:23:27,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:23:27,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:23:27,49.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:23:37,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:25:47,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:25:47,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:26:17,screen_on,fix,Not in charge,19,62,Not available
