Dataset,Batch Size,Device,Nbr Epoch,Training Time,Training Energy,Training Carbon,Accuracy,CPU Energy,GPU Energy,RAM Energy
MNIST,10,cuda,1,23.61263418197632,0.0008491135929619,4.670124761290597e-05,98.39,0.0003812183708077,0.0003913604955633,7.653472659079398e-05
MNIST,10,cuda,1,22.28038001060486,0.0008015817587546,4.408699673150505e-05,98.64,0.000360700658838,0.0003686640799919,7.221701992458445e-05
MNIST,10,cuda,1,22.696942806243896,0.0008128731394216,4.470802266819043e-05,98.73,0.0003624185749346,0.0003768888771004,7.35656873866004e-05
MNIST,10,cuda,1,21.79677104949951,0.0007852799014376,4.319039457907051e-05,98.6,0.0003522024442617,0.0003624282273499,7.064922982599758e-05
MNIST,10,cuda,1,22.132115840911865,0.0007979246693073,4.388585681190384e-05,98.47,0.0003598877909655,0.00036630160645,7.173527189170319e-05
MNIST,10,cuda,1,22.39978551864624,0.0008049299693269,4.427114831298253e-05,98.58,0.0003622740409301,0.0003700520556008,7.260387279596434e-05
MNIST,10,cuda,1,22.770186185836792,0.0008200969162903,4.510533039596928e-05,98.42,0.000367689833596,0.0003786024172008,7.380466549347176e-05
MNIST,10,cuda,1,22.55947756767273,0.0008119435300789,4.465689415434327e-05,98.63,0.0003666016802255,0.0003722203361761,7.312151367725913e-05
MNIST,10,cuda,1,21.95885157585144,0.0007893726956596,4.341549826128244e-05,98.63,0.0003554594438117,0.0003627385084988,7.117474334910678e-05
MNIST,10,cuda,1,23.153812170028687,0.0008342861101529,4.588573605841363e-05,98.63,0.0003741491215412,0.0003850891736295,7.50478149821467e-05
MNIST,10,cuda,1,21.671306371688843,0.0007812218119841,4.296719965912876e-05,98.27,0.0003511284814581,0.0003598504466281,7.024288389784402e-05
MNIST,10,cuda,1,22.456523656845093,0.0008087863571162,4.448324964139593e-05,98.7,0.0003632110136241,0.0003727876173094,7.278772618266354e-05
MNIST,10,cuda,1,22.144381284713745,0.0007987364760298,4.393050618164186e-05,98.54,0.0003586305366264,0.0003683282234013,7.17777160021213e-05
MNIST,10,cuda,1,22.59902572631836,0.0008027100198783,4.4149051093311934e-05,98.76,0.0003555081532951,0.0003739523397936,7.324952678957336e-05
MNIST,10,cuda,1,21.883180618286133,0.0007879873116167,4.333930213891953e-05,98.64,0.0003544068265807,0.0003626509712338,7.092951380208243e-05
MNIST,10,cuda,1,22.02798891067505,0.0007935280569549,4.364404313252288e-05,98.71,0.0003563329400661,0.0003657963988892,7.139871799961099e-05
MNIST,10,cuda,1,22.706426858901978,0.0008106950615918,4.458822838754996e-05,98.65,0.0003583109166485,0.0003787872274017,7.35969175415797e-05
MNIST,10,cuda,1,24.317325115203857,0.0008767222289555,4.821972259255704e-05,98.67,0.0003940995802794,0.0004038042331333,7.881841554277551e-05
MNIST,10,cuda,1,23.22366142272949,0.0008322430107121,4.577336558917024e-05,98.46,0.0003708085549799,0.0003861617287699,7.527272696230549e-05
MNIST,10,cuda,1,23.615153551101685,0.0008483089223325,4.665699072829119e-05,98.69,0.0003790182943255,0.0003927475597232,7.654306828380404e-05
MNIST,10,cuda,1,22.934582233428955,0.0008250295144913,4.537662329702446e-05,98.63,0.0003699472995687,0.000380745205686,7.433700923654537e-05
MNIST,10,cuda,1,23.608468532562256,0.0008435276326816,4.6394019797488725e-05,98.47,0.00037705038914,0.0003899572638585,7.65199796830215e-05
MNIST,10,cuda,1,21.955374002456665,0.0007930835255551,4.3619593905531386e-05,98.71,0.0003555733419584,0.0003663471796639,7.116300393269095e-05
MNIST,10,cuda,1,22.169427394866943,0.0007982676872421,4.390472279831804e-05,98.43,0.0003596038421272,0.0003668064846833,7.185736043150162e-05
MNIST,10,cuda,1,22.326869249343872,0.0008046720671713,4.425696369442574e-05,98.35,0.0003615530472977,0.000370751675609,7.236734426452994e-05
MNIST,10,cuda,1,22.4102144241333,0.000808680550818,4.447743029499544e-05,98.69,0.0003634059023911,0.0003726370819913,7.263756643564175e-05
MNIST,10,cuda,1,23.699278831481934,0.0008493800530997,4.671590292048772e-05,98.66,0.0003791032857823,0.0003934611200154,7.681564730194509e-05
MNIST,10,cuda,1,22.72824263572693,0.0008184935788525,4.501714683689036e-05,98.6,0.00036804485388,0.0003767803632836,7.36683616887717e-05
MNIST,10,cuda,1,21.879975080490112,0.0007882034565057,4.335119010781567e-05,98.57,0.0003552647589337,0.0003620196829438,7.091901462811971e-05
MNIST,10,cuda,1,24.11719751358032,0.0008671218741503,4.76917030782709e-05,98.44,0.0003897874540519,0.0003991643198545,7.817010024386528e-05
MNIST,10,cuda,1,21.85911655426025,0.0007889997242278,4.339498483253129e-05,98.67,0.000353492572516,0.0003646554834079,7.085166830381165e-05
MNIST,10,cuda,1,22.37714433670044,0.0008063891767777,4.435140472277539e-05,98.31,0.0003623204445783,0.0003715387036708,7.253002852848614e-05
MNIST,10,cuda,1,22.14596152305603,0.0007993983654799,4.39669101013976e-05,98.55,0.0003587090175225,0.000368906857215,7.178249074238153e-05
MNIST,10,cuda,1,22.01558804512024,0.000794606297619,4.3703346369045246e-05,98.57,0.0003577219789551,0.0003655242575919,7.136006107191103e-05
MNIST,10,cuda,1,22.569894313812256,0.0008164080922812,4.490244507546828e-05,98.66,0.0003672511613006,0.0003760001449624,7.315678601807776e-05
MNIST,10,cuda,1,22.296406269073486,0.0008054374863435,4.4299061748895775e-05,98.73,0.000361818804177,0.0003713500040187,7.226867814778179e-05
MNIST,10,cuda,1,21.873094081878666,0.0007893195490856,4.341257519971344e-05,98.51,0.000354135712475,0.000364287186529,7.089665008165402e-05
MNIST,10,cuda,1,22.175926208496094,0.0007987976457747,4.393387051761379e-05,98.64,0.0003598804329041,0.0003670389746381,7.187823823249706e-05
MNIST,10,cuda,1,22.11181116104126,0.00079657409127,4.3811575019855385e-05,98.56,0.0003578022404082,0.0003671016070842,7.167024377758783e-05
MNIST,10,cuda,1,23.6998074054718,0.0008535460972769,4.6945035350230384e-05,98.54,0.0003825248426862,0.0003942028463003,7.68184082902846e-05
MNIST,10,cuda,1,21.88726067543029,0.0007880484040913,4.3342662225026856e-05,98.55,0.0003543239715145,0.0003627803874605,7.094404511630699e-05
MNIST,10,cuda,1,23.686267852783203,0.0008518835265342,4.685359395938613e-05,98.59,0.0003812740483523,0.0003938362510355,7.677322714636565e-05
MNIST,10,cuda,1,23.456833362579346,0.0008414351043162,4.62789307373935e-05,98.52,0.0003759267507411,0.0003894800531374,7.602830043767474e-05
MNIST,10,cuda,1,23.459428787231445,0.0008455143973567,4.650329185462156e-05,98.42,0.0003787869888626,0.000390689534621,7.603787387303385e-05
MNIST,10,cuda,1,22.35854434967041,0.0008067376526454,4.4370570895499376e-05,98.74,0.0003630109884641,0.0003712567020244,7.246996215691988e-05
MNIST,10,cuda,1,21.746248960494995,0.0007838976866351,4.311437276493178e-05,98.66,0.0003518179233985,0.0003615942871421,7.04854760944058e-05
MNIST,10,cuda,1,22.30956244468689,0.0008030470156068,4.4167585858375904e-05,98.54,0.0003603056607443,0.0003704298562815,7.231149858098784e-05
MNIST,10,cuda,1,22.371970653533936,0.0008047144752502,4.425929613876266e-05,98.43,0.0003618931142364,0.0003703077183676,7.251364264610743e-05
MNIST,10,cuda,1,22.87369656562805,0.0008115739234932,4.4636565792130646e-05,98.59,0.0003601691117461,0.0003772643303251,7.414048142198595e-05
MNIST,10,cuda,1,22.04756212234497,0.0007943004242554,4.368652333405234e-05,98.52,0.0003573248783596,0.0003655135160303,7.146202986544703e-05
MNIST,10,cuda,1,24.3461492061615,0.000866780747839,4.7672941131145936e-05,98.61,0.0003863054384885,0.0004015631098416,7.891219950885785e-05
MNIST,32,cuda,1,17.640233516693115,0.0006202298416393,3.41126412901626e-05,98.54,0.0002821762882408,0.0002808770564765,5.717649692193694e-05
MNIST,32,cuda,1,15.071004629135132,0.0005353875722061,2.9446316471335942e-05,98.61,0.0002437293447055,0.0002428078683982,4.885035910227259e-05
MNIST,32,cuda,1,15.428900241851808,0.0005499033309117,3.024468320014649e-05,98.48,0.0002496707844586,0.0002502219084673,5.001063798571569e-05
MNIST,32,cuda,1,16.24256205558777,0.000576392548135,3.17015901474282e-05,98.48,0.0002590000088665,0.0002647447061403,5.26478331281919e-05
MNIST,32,cuda,1,16.10156488418579,0.0005719920021843,3.145956012013751e-05,98.49,0.0002573711020078,0.0002624303711001,5.21905290763192e-05
MNIST,32,cuda,1,15.22317886352539,0.0005473619587152,3.0104907729340585e-05,98.48,0.0002474159801548,0.0002506023769664,4.934360159402596e-05
MNIST,32,cuda,1,16.32105851173401,0.0005859939433681,3.2229666885245566e-05,98.53,0.0002635319119364,0.0002695599988284,5.290203260318852e-05
MNIST,32,cuda,1,15.50094485282898,0.0005597553197474,3.078654258611116e-05,98.5,0.0002526545507345,0.0002568562954832,5.024447352964293e-05
MNIST,32,cuda,1,15.23836588859558,0.0005541903714072,3.048047042739645e-05,98.56,0.0002502450732514,0.0002545519145433,4.939338361244068e-05
MNIST,32,cuda,1,16.349510669708252,0.0005901441948866,3.245793071876595e-05,98.39,0.0002644836685312,0.0002726646981951,5.299582816032181e-05
MNIST,32,cuda,1,15.497673749923706,0.0005593191639314,3.076255401622788e-05,98.54,0.0002514347653143,0.0002576509736772,5.023342493986453e-05
MNIST,32,cuda,1,15.25245237350464,0.0005511404135948,3.031272274771418e-05,98.57,0.000247310101459,0.0002543914746033,4.9438837532425645e-05
MNIST,32,cuda,1,14.994700908660889,0.0005428984120877,2.985941266482717e-05,98.59,0.0002445995179016,0.0002496958502472,4.860304393881156e-05
MNIST,32,cuda,1,16.856898069381714,0.0006076110108765,3.341860559820787e-05,98.45,0.0002722965447814,0.000280675625779,5.463884031597805e-05
MNIST,32,cuda,1,15.274320602416992,0.000555175586512,3.053465725816148e-05,98.54,0.0002476797195325,0.0002579867614052,4.950910557431323e-05
MNIST,32,cuda,1,15.908535480499268,0.0005760883129176,3.168485721047168e-05,98.56,0.0002588043575988,0.0002657189118074,5.156504351138664e-05
MNIST,32,cuda,1,15.006243467330933,0.0005436748181618,2.9902114998899088e-05,98.62,0.0002447521733015,0.0002502815722286,4.8641072631549305e-05
MNIST,32,cuda,1,16.19361424446106,0.0005848157803306,3.216486791818597e-05,98.63,0.0002631595299719,0.0002691670801725,5.248917018618329e-05
MNIST,32,cuda,1,16.338980197906494,0.000586319510893,3.224757309911982e-05,98.5,0.0002613243251703,0.0002720350889088,5.296009681388502e-05
MNIST,32,cuda,1,15.364707469940186,0.0005565935519081,3.061264535494891e-05,98.49,0.0002501892943179,0.0002566017902433,4.980246734683182e-05
MNIST,32,cuda,1,15.993499755859377,0.0005741807182248,3.157993950236583e-05,98.56,0.0002573507061581,0.0002649896100031,5.184040206354875e-05
MNIST,32,cuda,1,15.05711555480957,0.0005448024614743,2.996413538108962e-05,98.54,0.0002444915028152,0.0002515053873777,4.880557128134968e-05
MNIST,32,cuda,1,15.838945388793944,0.0005719809397012,3.145895168356974e-05,98.57,0.0002560224139844,0.0002646188701914,5.133965552540161e-05
MNIST,32,cuda,1,15.257456302642822,0.0005532094301884,3.0426518660364108e-05,98.54,0.0002488919435578,0.0002548627199031,4.94547667273964e-05
MNIST,32,cuda,1,16.88276696205139,0.0006101739136048,3.355956524826435e-05,98.51,0.0002738031951534,0.0002816478886073,5.4722829843996215e-05
MNIST,32,cuda,1,15.343651533126833,0.0005518774390771,3.035325914924389e-05,98.57,0.0002478130471391,0.0002543301626536,4.9734229284336304e-05
